time, rssi
2,-65
3,-63
8,-64
9,-65
11,-65
12,-64
18,-65
20,-62
21,-86
29,-89
30,-65
32,-64
33,-64
38,-87
44,-64
51,-90
53,-92
54,-65
57,-64
59,-64
