count, hci0, hci1, hci2
0,0,0,0
1,0,-65,-78
2,0,-64,-78
3,0,-64,-78
4,0,-64,-79.5
5,-61,-64,-79.5
6,-61,-64,-79.5
7,-61,-64,-79.5
8,-61,-64.25,-76.3333
9,-61,-64.25,-76.3333
10,-63.3333,-64.4,-76.75
11,-63.3333,-64.3333,-76.75
12,-63.3333,-64.3333,-76.75
13,-63.3333,-64.3333,-77.8
14,-63.3333,-64.3333,-76.6667
15,-63.3333,-64.3333,-76.6667
16,-62.75,-64.3333,-75.8571
17,-63.8,-64.4286,-75.8571
18,-63.8,-64.4286,-75.8571
19,-63.8,-64.125,-75.8571
20,-67,-66.5556,-75.8571
21,-67,-66.5556,-75.8571
22,-66.1429,-66.5556,-75.8571
23,-66.1429,-66.5556,-75.8571
24,-66.1429,-66.5556,-75.8571
25,-66.1429,-66.5556,-75.8571
26,-66.1429,-66.5556,-76.25
27,-66.1429,-66.5556,-76.25
28,-65.5,-68.8,-75.5556
29,-65.5,-68.4545,-75.8
30,-65.5,-68.4545,-75.8
31,-65.7778,-68.0833,-75.9091
32,-65.7778,-67.7692,-76.0833
33,-65.7778,-67.7692,-76.0833
34,-65.7778,-67.7692,-76.0833
35,-65.7778,-67.7692,-76.0833
36,-65.7778,-67.7692,-76.0833
37,-67.7,-69.1429,-76.0833
38,-67.7,-69.1429,-76.0833
39,-67.7,-69.1429,-76.0833
40,-67.7,-69.1429,-75.6923
41,-67.7273,-69.1429,-75.8571
42,-67.7273,-69.1429,-75.8571
43,-69.1667,-68.8,-76.2
44,-70.3077,-68.8,-76.5
45,-70.3077,-68.8,-76.5
46,-69.6429,-68.8,-76.0625
47,-69.4667,-68.8,-76.0625
48,-69.4667,-68.8,-76.0625
49,-69.4667,-68.8,-76.0625
50,-70.5,-70.125,-76.0625
51,-70.5,-70.125,-76.0625
52,-70.5,-71.8125,-76.0625
53,-70.5,-71.9375,-76.125
54,-70.5,-71.9375,-76.125
55,-70.5,-71.9375,-76.25
56,-70.5,-71.9375,-76.25
57,-70.5,-71.9375,-76.25
58,-72.125,-71.875,-76.25
59,-72.125,-71.875,-76.25
