time, rssi
1,-66
5,-62
7,-59
11,-57
13,-66
17,-59
20,-59
25,-62
26,-62
29,-59
31,-59
32,-66
37,-59
39,-59
40,-59
42,-59
43,-65
48,-61
49,-62
51,-59
52,-59
55,-61
57,-60
60,-66
