hci0,hci1,hci2
-57,-66,0
-57,-66,0
-55.5,-66,-72
-55.5,-66,-72
-55.5,-66,-72
-55.5,-64,-72
-54.3333,-62.3333,-69.6667
-54.3333,-62.3333,-69.6667
-54.3333,-62.3333,-67.75
-54.3333,-62.3333,-67
-54.3333,-62.3333,-67
-54.3333,-61,-67
-54.3333,-62,-67
-54.3333,-62,-67
-54,-62,-68.1667
-53.4,-62,-68.1667
-53.4,-62,-68.1667
-53.1667,-61.5,-68.1667
-53.1667,-61.5,-67.5714
-53.1667,-61.5,-67.5714
-53.7143,-61.1429,-67.125
-53.75,-61.1429,-67.125
-53.75,-61.1429,-67.125
-53.7778,-61.1429,-67.8889
-53.7778,-61.25,-67.8889
-53.7778,-61.25,-67.8889
-53.5,-61.3333,-68.5
-53.2727,-61.3333,-68.5
-53.2727,-61.3333,-68.5
-53.2727,-61.1,-68
-53.2727,-60.9091,-68
-53.2727,-60.9091,-68
-53.2727,-61.3333,-67.75
-53.3333,-61.3333,-67.75
-53.3333,-61.3333,-67.75
-53.3333,-61.3333,-67.75
-53.2308,-61.1538,-67.75
-53.2308,-61.1538,-67.75
-53.2308,-61,-67.4615
-53.5,-60.8667,-67.2143
-53.5,-60.8667,-67.2143
-53.7333,-60.75,-67
-53.75,-60.6875,-66.8125
-53.75,-60.6875,-66.8125
-53.75,-60.6875,-66.3125
-53.5625,-60.6875,-66.3125,*
-53.5625,-60.6875,-66.3125,*
-53.5625,-60.625,-66.3125,*
-53.4375,-60.8125,-66.3125,*
-53.4375,-60.8125,-66.3125,*
-53.4375,-60.9375,-65.8125,*
-53.4375,-60.5,-65.8125,*
-53.4375,-60.5,-65.8125,*
-53.5625,-60.5,-65.8125,*
-53.5,-60.625,-66.4375,*
-53.5,-60.625,-66.4375,*
-53.5,-60.6875,-66.5625,*
-53.5,-60.6875,-66.5625,*
-53.5,-60.6875,-66.5625,*
-53.9375,-60.9375,-66.75,*
