count, hci0, hci1, hci2
0,0,0,0
1,-52,-59,-56
2,-52,-58.5,-56
3,-52,-58.5,-56
4,-52,-58.5,-54.5
5,-57,-56.6667,-54.5
6,-57,-56.6667,-54.5
7,-57,-56.6667,-54.5
8,-55.6667,-57.5,-55
9,-55.6667,-57.5,-55
10,-55,-58,-55.25
11,-55,-58.3333,-55.4
12,-55,-58.3333,-55.4
13,-54.6,-58.3333,-55.4
14,-54.1667,-58.7143,-55
15,-54.1667,-58.7143,-55
16,-53.4286,-59,-55
17,-53.4286,-59,-54.7143
18,-53.4286,-59,-54.7143
19,-54.5,-58.3333,-54.375
20,-54.5,-58.5,-54.375
21,-54.5,-58.5,-54.375
22,-54.3333,-58.5,-54.375
23,-53.8,-58.7273,-54.375
24,-53.8,-58.7273,-54.375
25,-53.8,-58.7273,-54.2222
26,-54.5455,-58.3333,-54
27,-54.5455,-58.3333,-54
28,-54.4167,-58.4615,-54
29,-54.3077,-58.6429,-54
30,-54.3077,-58.6429,-54
31,-54.3077,-58.6429,-53.9091
32,-54.3077,-58.2,-53.9091
33,-54.3077,-58.2,-53.9091
34,-54.8571,-57.9375,-53.9091
35,-55.3333,-57.9375,-54.0833
36,-55.3333,-57.9375,-54.0833
37,-55.3333,-57.9375,-54.0833
38,-55.1875,-57.9375,-54.0833
39,-55.1875,-57.9375,-54.0833
40,-55,-58.0625,-54
41,-55,-58.0625,-53.9286
42,-55,-58.0625,-53.9286
43,-55,-57.8125,-53.9286
44,-55,-57.8125,-53.9286
45,-55,-57.8125,-53.9286
46,-55,-57.8125,-53.9286
47,-55,-58.25,-54.0667
48,-55,-58.25,-54.0667
49,-55,-58.375,-54
50,-55,-58.375,-54
51,-55,-58.375,-54
52,-54.75,-58.375,-54
53,-55.3125,-58.375,-54
54,-55.3125,-58.375,-54
55,-55.3125,-58.375,-54
56,-55.3125,-58.375,-54
57,-55.3125,-58.375,-54
58,-55.3125,-58.4375,-53.8125
59,-55.3125,-58.0625,-53.75
