count, hci0, hci1, hci2
0,0,-65,0
1,0,-65,0
2,0,-64.5,-79
3,-68,-71.6667,-75
4,-68,-71.6667,-75
5,-68,-71.6667,-73.6667
6,-68,-70,-73.6667
7,-68,-70,-73.6667
8,-68,-68.8,-75
9,-64,-68.8,-75
10,-64,-68.8,-75
11,-64,-68,-74.2
12,-64,-69.8571,-74.2
13,-64,-69.8571,-74.2
14,-70.3333,-69.25,-74.2
15,-72.75,-69.25,-74.2
16,-72.75,-69.25,-74.2
17,-72.75,-69.25,-74.2
18,-71.8,-69.25,-74.2
19,-71.8,-69.25,-74.2
20,-71.8,-69.25,-74.2
21,-71.8,-69.25,-75
22,-71.8,-69.25,-75
23,-73.5,-69.25,-75.4286
24,-73.5,-69.25,-75.4286
25,-73.5,-69.25,-75.4286
26,-71.5714,-68.6667,-76
27,-71.5714,-68.3,-75.4444
28,-71.5714,-68.3,-75.4444
29,-71.125,-69.5455,-75.4444
30,-70.7778,-70.5833,-75.1
31,-70.7778,-70.5833,-75.1
32,-72.2,-70.5833,-75.1
33,-70.9167,-70.9286,-75.0833
34,-70.9167,-70.9286,-75.0833
35,-70.9167,-71.6667,-75.0833
36,-70.9167,-71.6667,-75.0833
37,-70.9167,-71.6667,-75.0833
38,-70.9167,-71.6667,-75.3846
39,-71.7692,-71.25,-75.3846
40,-71.7692,-71.25,-75.3846
41,-72.7857,-71.25,-75.3846
42,-72,-71.25,-75.7857
43,-72,-71.25,-75.7857
44,-72,-71.25,-75.7857
45,-71.3125,-71.25,-75.7857
46,-71.3125,-71.25,-75.7857
47,-71.3125,-71.25,-75.7857
48,-71.8125,-71.375,-75.7857
49,-71.8125,-71.375,-75.7857
50,-71.8125,-71.375,-75.7857
51,-72.0625,-71.375,-75.7857
52,-72.0625,-71.375,-75.7857
53,-72.0625,-71.375,-75.7857
54,-72.0625,-71.375,-75.7857
55,-72.0625,-71.375,-75.7857
56,-71.3125,-71.375,-75.4667
57,-71.3125,-71.375,-75.5
58,-71.3125,-71.375,-75.5
59,-72.1875,-71.4375,-75.3125
