count, hci0, hci1, hci2
0,0,0,0
1,0,0,-59
2,0,0,-58
3,0,0,-58
4,0,0,-57
5,0,0,-57
6,0,0,-57
7,-71,0,-57
8,-67,-57,-57
9,-67,-57,-57
10,-67,-57,-57
11,-67,-58.5,-57
12,-67,-58.5,-57
13,-67,-58.5,-57
14,-67,-58.5,-57
15,-67,-58.5,-57
16,-65.6667,-58,-57.4
17,-65.6667,-58,-57.4
18,-65.6667,-58,-57.4
19,-65.6667,-58,-57.4
20,-65.6667,-58,-57.4
21,-65.6667,-58,-57.4
22,-65.6667,-57.5,-57.4
23,-65,-57.6,-57.1667
24,-65,-57.6,-57.1667
25,-65,-57.6,-57.1667
26,-65.8,-57.6,-57
27,-65.8,-57.6,-57
28,-65.8,-57.6,-57
29,-65.8,-57.6,-57
30,-65.8,-57.6,-57
31,-65.8,-57.6,-57
32,-66.8333,-57.3333,-57.25
33,-66.8333,-57.3333,-57.25
34,-66.8333,-57.4286,-57.25
35,-66.2857,-57.5,-57.1111
36,-66.2857,-57.5,-57.1111
37,-66.2857,-57.7778,-57.1
38,-66.625,-57.7778,-57.1
39,-66.625,-57.7778,-57.1
40,-66.8889,-57.7778,-56.9091
41,-66.8889,-57.7778,-56.9091
42,-66.8889,-57.7778,-56.9091
43,-67.3,-57.7778,-56.9091
44,-66.9091,-57.8,-56.9167
45,-66.9091,-57.8,-56.9167
46,-66.5833,-58,-56.9231
47,-66.5833,-58.1667,-56.9231
48,-66.5833,-58.1667,-56.9231
49,-66.5833,-58.1667,-56.7857
50,-66.5833,-58.1667,-56.7857
51,-66.5833,-58.1667,-56.7857
52,-66.5833,-58.1667,-56.7857
53,-67,-58,-56.7857
54,-67,-58,-56.7857
55,-67,-58,-56.9333
56,-67,-58,-56.875
57,-67,-58,-56.875
58,-66.7143,-58,-56.875
59,-66.7143,-58.125,-56.75
