time, rssi
1,-46
4,-46
5,-48
7,-47
10,-46
11,-46
16,-48
22,-47
26,-48
31,-47
32,-47
35,-48
38,-47
40,-48
41,-48
43,-48
44,-48
46,-46
47,-46
52,-48
58,-46
