hci0,hci1,hci2
0,0,0
0,0,-69
0,0,-69
0,0,-69
0,-56,-72.5
0,-57,-72.5
0,-57,-72.5
0,-57,-73.3333
-61,-57,-73.3333
-61,-57,-73.3333
-61,-58,-73.3333
-61,-58,-73.3333
-61,-57.8,-73.75
-61,-57.8,-73.75
-61,-57.6667,-73.8
-61,-57.5714,-73.8333
-61,-57.5714,-73.8333
-61,-57.5714,-73.8571
-61,-57.5714,-73.8571
-61,-57.5714,-73.8571
-61.5,-57.875,-73.8571
-61.5,-57.875,-73.8571
-61.5,-57.875,-73.8571
-61.5,-57.7778,-73.75
-61.5,-57.7778,-73.75
-61.5,-57.7778,-73.75
-62.3333,-57.7,-73.75
-63,-57.6364,-73.75
-63,-57.6364,-73.75
-62.8,-57.9167,-73.2222
-62.6667,-57.9167,-73.2222
-62.6667,-57.9167,-73.2222
-62.2857,-57.8462,-73.2222
-62.2857,-57.7857,-73.3
-62.2857,-57.7857,-73.3
-62.2857,-57.7333,-73.3
-62.2857,-57.7333,-73.3
-62.2857,-57.7333,-73.3
-62.2857,-57.7333,-72.9091
-62.2857,-57.7333,-72.5833
-62.2857,-57.7333,-72.5833
-62.125,-57.7333,-72.3077
-62.125,-57.6875,-72.4286
-62.125,-57.6875,-72.4286
-62.1111,-57.6875,-72.5333
-62.1111,-57.75,-72.5333
-62.1111,-57.75,-72.5333
-62,-57.875,-72.3125
-62,-57.875,-72.3125
-62,-57.875,-72.3125
-61.9091,-57.875,-72.3125
-61.9167,-57.875,-72.3125
-61.9167,-57.875,-72.3125
-61.9167,-57.875,-72.6875
-61.9167,-57.875,-72.6875
-61.9167,-57.875,-72.6875
-62.0769,-57.625,-72.5
-62.0769,-57.8125,-72.5
-62.0769,-57.8125,-72.5
-62,-57.8125,-72.5
