hci0,hci1,hci2
0,0,0
-64,-62,-72
-64,-62,-71.5
-64,-59.5,-71.5
-66,-58.6667,-71.3333
-66,-58.5,-71.3333
-66,-58.5,-71.3333
-66,-58.5,-71.3333
-66,-58.5,-70
-66,-58.5,-70
-66,-58.5,-70
-66,-59,-70
-66,-59,-70
-66,-59,-70
-65.5,-58.6667,-70
-65.5,-58.6667,-70
-65.5,-58.5714,-70
-65.4,-58.5714,-70
-65.4,-58.5714,-70
-65.4,-58.5714,-70.4
-65.8333,-58.5714,-70.4
-65.8333,-58.5714,-70.4
-65.8571,-58.875,-70.6667
-65.8571,-58.875,-70.8571
-65.8571,-58.875,-70.8571
-65.8571,-58.875,-70.8571
-65.8571,-58.875,-70.375
-65.8571,-58.875,-70.375
-65.875,-58.875,-71
-65.875,-58.875,-71
-65.875,-58.875,-71
-65.875,-58.875,-71.1
-65.875,-58.6667,-71.1
-65.875,-58.6667,-71.1
-65.875,-58.6667,-71.1
-65.875,-58.6667,-71.1
-65.875,-58.6667,-71.1
-65.6667,-58.9,-71.1
-65.8,-58.7273,-71.3636
-65.8,-58.7273,-71.3636
-65.8,-58.7273,-71.3636
-65.8,-58.6667,-71.0833
-65.8,-58.6667,-71.0833
-65.9091,-58.8462,-71.0833
-65.9091,-58.9286,-71.3077
-65.9091,-58.9286,-71.3077
-66.1667,-58.8,-71.3571
-66.1667,-58.75,-71.3571
-66.1667,-58.75,-71.3571
-66.3846,-58.5,-71.4
-66.3846,-58.625,-71.4
-66.3846,-58.625,-71.4
-66.5714,-58.625,-71.1875
-66.6,-58.625,-71.3125
-66.6,-58.625,-71.3125
-66.5625,-58.875,-71.3125
-66.5625,-58.875,-71.3125
-66.5625,-58.875,-71.3125
-66.8125,-58.875,-71.3125,*
-66.8125,-58.875,-71.3125,*
