time, rssi
1,-54
3,-54
7,-63
9,-55
16,-62
18,-56
21,-54
22,-54
24,-54
28,-55
30,-54
34,-55
43,-55
45,-55
46,-54
48,-54
49,-54
54,-55
55,-54
