count, hci0, hci1, hci2
0,0,0,0
1,0,-54,0
2,-54,-54,-54
3,-54,-54,-54
4,-54,-54,-54
5,-54,-54,-54
6,-54,-54,-54
7,-54,-57,-54
8,-54,-56.5,-54
9,-54,-56.5,-54
10,-55.5,-56.5,-54.6667
11,-55.2,-56.5,-55
12,-55.2,-56.5,-55
13,-55.2,-56.5,-55.2
14,-55.2,-56.5,-55.3333
15,-55.2,-56.5,-55.3333
16,-55.5,-57.6,-57.4286
17,-55.2857,-57.3333,-57.4286
18,-55.2857,-57.3333,-57.4286
19,-55.2857,-57.3333,-57.4286
20,-55.2857,-56.8571,-57.125
21,-55.2857,-56.8571,-57.125
22,-55.2857,-56.5,-57
23,-55.125,-56.2222,-56.9
24,-55.125,-56.2222,-56.9
25,-55,-56.2222,-58.0909
26,-55,-56.2222,-58.0909
27,-55,-56.2222,-58.0909
28,-55,-56.1,-57.9167
29,-55,-55.9091,-57.9167
30,-55,-55.9091,-57.9167
31,-55,-55.9091,-57.9167
32,-55,-55.9091,-57.9167
33,-55,-55.9091,-57.9167
34,-55.1,-55.8333,-57.9167
35,-55.5455,-55.8333,-57.7692
36,-55.5455,-55.8333,-57.7692
37,-55.5455,-55.8333,-57.7692
38,-55.4167,-55.8333,-57.6429
39,-55.4167,-55.8333,-57.6429
40,-55.4167,-55.8333,-58.4
41,-55.3077,-55.8333,-58.4
42,-55.3077,-55.8333,-58.4
43,-55.3571,-55.7692,-58.4
44,-55.3571,-55.7143,-58.25
45,-55.3571,-55.7143,-58.25
46,-55.6667,-55.6,-58.375
47,-55.6667,-55.5,-58.5
48,-55.6667,-55.5,-58.5
49,-55.6667,-55.5,-58.5
50,-55.6667,-55.5,-58.5
51,-55.6667,-55.5,-58.5
52,-55.75,-55.5,-58.5
53,-55.75,-55.5625,-58.5
54,-55.75,-55.5625,-58.5
55,-55.75,-55,-58.5
56,-55.75,-55,-58.5
57,-55.75,-55,-58.5
58,-55.75,-55,-59.375
59,-55.9375,-55,-59.375
