time, rssi
0,-54
3,-63
5,-55
6,-54
11,-63
12,-55
14,-54
17,-63
18,-55
23,-55
24,-55
26,-55
29,-54
33,-63
35,-55
37,-55
39,-54
43,-63
46,-55
50,-62
