count, hci0, hci1, hci2
0,0,-54,0
1,0,-54,0
2,-60,-54,0
3,-60,-58.5,0
4,-60,-58.5,0
5,-60,-57.3333,0
6,-60,-56.5,-54
7,-60,-56.5,-54
8,-60,-56.5,-54
9,-60,-56.5,-54
10,-60,-56.5,-54
11,-58.6667,-57.8,-54
12,-58.6667,-57.3333,-54
13,-58.6667,-57.3333,-54
14,-58.6667,-56.8571,-54
15,-58.6667,-56.8571,-61.5
16,-58.6667,-56.8571,-61.5
17,-57.5,-57.625,-64
18,-57.4,-57.3333,-64
19,-57.4,-57.3333,-64
20,-57.3333,-57.3333,-64
21,-56.8571,-57.3333,-64
22,-56.8571,-57.3333,-64
23,-56.875,-57.1,-62
24,-56.6667,-56.9091,-62
25,-56.6667,-56.9091,-62
26,-56.6667,-56.75,-60.8
27,-56.6667,-56.75,-60
28,-56.6667,-56.75,-60
29,-56.6667,-56.5385,-60
30,-57,-56.5385,-61.5714
31,-57,-56.5385,-61.5714
32,-57,-56.5385,-61.5714
33,-56.8182,-57,-61.5714
34,-56.8182,-57,-61.5714
35,-56.8182,-56.8667,-60.875
36,-56.8182,-56.75,-60.875
37,-56.8182,-56.75,-60.875
38,-56.8182,-56.75,-60.3333
39,-56.8182,-56.75,-60.3333
40,-56.8182,-56.75,-60.3333
41,-56.8182,-56.75,-61.4
42,-56.5833,-56.75,-62.2727
43,-56.5833,-56.75,-62.2727
44,-56.5833,-56.75,-62.2727
45,-56.3846,-56.75,-61.75
46,-56.3846,-56.75,-61.75
47,-56.3846,-56.75,-61.75
48,-56.3846,-56.75,-62.3846
49,-56.3846,-56.75,-62.3846
50,-56.3846,-57.25,-62.3846
51,-56.4286,-57.25,-61.9286
52,-56.4286,-57.25,-61.9286
53,-56.4286,-57.25,-61.9286
54,-56.4286,-57.25,-61.9286
55,-56.4286,-57.25,-61.9286
56,-56.4286,-57.25,-61.9286
57,-56.6667,-57.25,-61.9286
58,-56.6667,-57.25,-61.9286
59,-56.6667,-57.25,-61.9286
