time, rssi
0,-65
2,-64
3,-69
8,-65
9,-65
11,-65
15,-70
20,-64
21,-64
23,-71
24,-72
29,-66
33,-68
35,-64
36,-63
44,-66
45,-67
47,-64
48,-65
50,-68
51,-68
53,-65
58,-66
59,-67
