time, rssi
2,-73
4,-74
9,-65
10,-76
12,-76
18,-65
22,-75
24,-65
25,-65
30,-74
31,-65
33,-65
34,-78
37,-73
40,-65
42,-78
45,-73
46,-75
49,-65
51,-65
55,-83
57,-80
58,-73
