hci0,hci1,hci2
0,0,0
0,0,0
-73,-68,0
-73,-68,0
-73.5,-68,0
-73.5,-68,0
-73.5,-68,-79
-73.5,-68,-79
-70.6667,-69,-79
-72,-69,-79
-72,-69,-79
-72.8,-69,-78.6667
-72.8,-69,-78.6667
-72.8,-69,-78.6667
-72.8,-69,-78.6667
-72.8,-69,-78.6667
-72.8,-69,-78.6667
-71.5,-69,-78.6667
-71.5,-69,-78.25
-71.5,-69,-78.25
-71.5,-68.8333,-78.6
-72,-68.7143,-78.3333
-72,-68.7143,-78.3333
-71.125,-68.7143,-78.2857
-70.4444,-68.7143,-78.375
-70.4444,-68.7143,-78.375
-70.4444,-68.7143,-78.375
-70.4444,-68.7143,-78.3333
-70.4444,-68.7143,-78.3333
-70.8,-68.7143,-78.2
-70.2727,-68.875,-78.1818
-70.2727,-68.875,-78.1818
-69.8333,-69,-78.0833
-70.4615,-69,-78.0833
-70.4615,-69,-78.0833
-70.4615,-69,-78.0769
-70.6429,-69,-78.0714
-70.6429,-69,-78.0714
-70.6429,-69,-78.0667
-70.2667,-69.2727,-78.0667
-70.2667,-69.2727,-78.0667
-70.75,-69.4167,-78.0667
-70.75,-69.4167,-78.0667
-70.75,-69.4615,-78.0667
-70.75,-69.5,-78.1875
-70.8125,-69.5,-78.1875
-70.8125,-69.5,-78.1875
-70.8125,-69.5,-78.1875
-70.8125,-69.5,-78.1875
-70.8125,-69.5,-78.1875
-70.125,-69.5,-78.1875
-70.125,-69.5,-78.0625
-70.125,-69.5,-78.0625
-70.125,-69.5,-78.0625
-70.5625,-69.5,-78.0625
-70.5625,-69.5,-78.0625
-71.5,-69.4667,-78.0625
-71.375,-69.4667,-78.0625
-71.375,-69.4667,-78.0625
-71.375,-69.4667,-78.0625
