time, rssi
4,-59
9,-63
15,-60
16,-59
18,-63
25,-59
27,-59
28,-63
31,-64
34,-59
39,-63
42,-59
45,-63
48,-59
49,-63
51,-62
52,-63
54,-64
58,-63
60,-64
