time, rssi
1,-67
4,-58
5,-58
7,-59
13,-58
16,-60
18,-60
22,-68
24,-58
25,-58
27,-60
31,-58
33,-58
34,-60
36,-61
37,-68
39,-58
42,-60
45,-69
46,-58
48,-57
49,-61
51,-58
54,-69
55,-69
58,-58
