hci0,hci1,hci2
0,0,0
0,0,0
-54,0,0
-54,0,0
-54,-61,-64
-54,-61,-64
-54,-61,-64
-54,-60,-64
-54,-61.6667,-64
-54,-61.6667,-64
-53.5,-62.5,-68
-53.5,-62.5,-68
-53.5,-62.5,-68
-53,-62.5,-66.6667
-53,-62.5,-66.6667
-53,-62.5,-66.6667
-53,-62,-66.5
-53,-62,-66.5
-53,-62,-66.5
-53,-62.3333,-66.5
-53.25,-62.5714,-66.5
-53.25,-62.5714,-66.5
-53.25,-62.25,-66
-53,-62.25,-65.6667
-53,-62.25,-65.6667
-53,-62.25,-66
-53,-62.25,-66
-53,-62.5556,-66.625
-53,-62.4,-66.625
-53,-62.4,-66.625
-53,-62.4,-66.3333
-53,-62.4,-66.3333
-53,-62.4,-66.3333
-53,-62.4,-66.9
-53,-62.6364,-66.9
-53,-62.5,-66.7273
-53,-62.5,-66.7273
-53,-62.2308,-66.75
-53,-62,-66.75
-53,-62,-66.75
-53.6,-62.2667,-67.1538
-53.6,-62.2667,-67.1538
-53.6,-62.2667,-67.1538
-53.4545,-62.125,-67.1538
-53.4545,-62,-67.0714
-53.4545,-62,-67.0714
-53.9167,-62.4375,-67.3333
-54.3077,-62.4375,-67.3333
-54.3077,-62.4375,-67.3333
-54.3077,-62.4375,-67.3333
-54.1429,-62.4375,-67.3333
-54.1429,-62.4375,-67.3333
-54.1429,-62.4375,-67.25
-54.1429,-62.0625,-67.25
-54.1429,-62.0625,-67.25
-54.0667,-62.0625,-67.75
-53.9375,-62.0625,-67.25
-53.9375,-62.0625,-67.25
-53.9375,-62.0625,-67.25
-54.25,-62.0625,-67.25,*
