count, hci0, hci1, hci2
0,-71,0,0
1,-71,0,0
2,-71,-59,-57
3,-71,-59,-57
4,-71,-59,-57
5,-71,-57,-57
6,-71,-57,-57
7,-71,-57,-57
8,-71,-57,-57
9,-71.5,-57,-57
10,-71.5,-57,-57
11,-71.3333,-57.75,-56.5
12,-71.3333,-58.2,-56.5
13,-71.3333,-58.2,-56.5
14,-71.3333,-58.2,-56.5
15,-70.5,-57.6667,-56
16,-70.5,-57.6667,-56
17,-70.5,-57.4286,-55.75
18,-70.5,-57.4286,-55.6
19,-70.5,-57.4286,-55.6
20,-70.8,-57.4286,-56.1667
21,-70.8,-57.75,-56.1667
22,-70.8,-57.75,-56.1667
23,-70.8,-57.75,-56.1667
24,-70.8,-57.4444,-56.1667
25,-70.8,-57.4444,-56.1667
26,-70.8,-57.3,-56.1667
27,-70.8,-57.2727,-56.1667
28,-70.8,-57.2727,-56.1667
29,-70.8,-57.5,-56.5714
30,-69.5,-57.6923,-56.5714
31,-69.5,-57.6923,-56.5714
32,-69.5,-57.5714,-56.5714
33,-69.5,-57.4667,-56.375
34,-69.5,-57.4667,-56.375
35,-69.5,-57.5,-56.6667
36,-69.7143,-57.4375,-56.9
37,-69.7143,-57.4375,-56.9
38,-68.875,-57.5625,-56.8182
39,-68.875,-57.75,-56.8182
40,-68.875,-57.75,-56.8182
41,-68.2222,-57.75,-56.8182
42,-68.3,-57.75,-56.6667
43,-68.3,-57.75,-56.6667
44,-68.5455,-57.625,-56.6667
45,-68.5455,-57.8125,-56.8462
46,-68.5455,-57.8125,-56.8462
47,-68.5455,-58.0625,-56.8571
48,-68.5455,-58.0625,-56.8
49,-68.5455,-58.0625,-56.8
50,-68.5455,-58.125,-56.6875
51,-68.5455,-58.125,-56.6875
52,-68.5455,-58.125,-56.6875
53,-68.5455,-58.125,-56.8125
54,-68.5455,-58.125,-56.875
55,-68.5455,-58.125,-56.875
56,-68.5455,-58.125,-57
57,-68.5455,-58.125,-57
58,-68.5455,-58.125,-57
59,-68.5455,-58.25,-57
