count, hci0, hci1, hci2
0,0,0,0
1,0,0,-72
2,0,0,-72
3,0,0,-72
4,-46,-52,-68
5,-46,-52,-67
6,-46,-52,-67
7,-46,-52,-67
8,-46,-52,-66.5
9,-46,-52,-66.5
10,-47,-53,-66.5
11,-47,-53,-66.5
12,-47,-53,-66.5
13,-46.6667,-52.6667,-67.4
14,-46.6667,-52.5,-67.4
15,-46.6667,-52.5,-67.4
16,-46.6667,-53.2,-67
17,-46.6667,-53.1667,-67
18,-46.6667,-53.1667,-67
19,-46.6667,-53.2857,-67
20,-46.6667,-53.2857,-67.7143
21,-46.6667,-53.2857,-67.7143
22,-46.75,-53.125,-67.7143
23,-46.75,-53.4444,-67.7143
24,-46.75,-53.4444,-67.7143
25,-47,-53.4444,-67.7143
26,-46.8333,-53.5,-68.25
27,-46.8333,-53.5,-68.25
28,-46.7143,-53.5,-68.25
29,-46.7143,-53.3636,-68.25
30,-46.7143,-53.3636,-68.25
31,-46.75,-53.25,-67.8889
32,-46.75,-53.25,-67.8889
33,-46.75,-53.25,-67.8889
34,-46.7778,-53.25,-67.6
35,-46.7778,-53.3077,-67.3636
36,-46.7778,-53.3077,-67.3636
37,-46.9,-53.3077,-67.3636
38,-46.9,-53.3571,-67.75
39,-46.9,-53.3571,-67.75
40,-46.9091,-53.2667,-67.75
41,-46.9091,-53.2667,-67.75
42,-46.9091,-53.2667,-67.75
43,-46.9167,-53.2667,-67.75
44,-47,-53.2667,-67.75
45,-47,-53.2667,-67.75
46,-47,-53.2667,-67.75
47,-47,-53.2667,-67.75
48,-47,-53.2667,-67.75
49,-47,-53.1875,-67.75
50,-47,-53.1875,-67.5385
51,-47,-53.1875,-67.5385
52,-47,-53.4375,-67.5385
53,-47.0625,-53.5625,-67.5385
54,-47.0625,-53.5625,-67.5385
55,-47.0625,-53.5625,-67.5385
56,-47.125,-53.75,-67.5385
57,-47.125,-53.75,-67.5385
58,-47.0625,-53.8125,-67.5385
59,-47.125,-53.5625,-67.5385
