count, hci0, hci1, hci2
0,0,0,0
1,0,0,0
2,0,-57,0
3,0,-57,0
4,-69,-57,-59
5,-69,-58,-59
6,-69,-58,-59
7,-69,-58.6667,-58
8,-69,-58.6667,-57.6667
9,-69,-58.6667,-57.6667
10,-69,-58,-57
11,-69,-58,-56.6
12,-69,-58,-56.6
13,-69,-57.6667,-56.6
14,-66,-57.7143,-57
15,-66,-57.7143,-57
16,-65,-57.75,-57.4286
17,-65,-57.75,-57.625
18,-65,-57.75,-57.625
19,-65,-57.75,-57.625
20,-65,-57.75,-57.625
21,-65,-57.75,-57.625
22,-64.5,-57.75,-57.3333
23,-64.5,-57.7778,-57.3333
24,-64.5,-57.7778,-57.3333
25,-64.5,-58,-57.6
26,-64.5,-58.1818,-57.6
27,-64.5,-58.1818,-57.6
28,-66,-58.1818,-57.6
29,-67,-58.1818,-57.5455
30,-67,-58.1818,-57.5455
31,-67.7143,-58,-57.5455
32,-67.7143,-58,-57.5455
33,-67.7143,-58,-57.5455
34,-67.875,-58,-57.5455
35,-68,-58,-57.75
36,-68,-58,-57.75
37,-68,-58,-57.75
38,-68,-58,-57.6154
39,-68,-58,-57.6154
40,-68,-58,-57.5714
41,-68,-57.8667,-57.5714
42,-68,-57.8667,-57.5714
43,-67.5,-57.875,-57.4
44,-67.5,-57.875,-57.4
45,-67.5,-57.875,-57.4
46,-67.7273,-57.875,-57.5
47,-68.0833,-58.0625,-57.375
48,-68.0833,-58.0625,-57.375
49,-68.3846,-58.0625,-57.375
50,-68.3846,-57.875,-57.375
51,-68.3846,-57.875,-57.375
52,-68.3846,-57.625,-57.25
53,-68,-57.75,-57.25
54,-68,-57.75,-57.25
55,-67.6667,-57.75,-57.25
56,-67.75,-57.875,-57.375
57,-67.75,-57.875,-57.375
58,-67.75,-58,-57.375
59,-67.75,-58,-57.5
