hci0,hci1,hci2
-82,-67,0
-82,-67,0
-77.5,-68.5,-76
-74.3333,-68.3333,-82.5
-72.75,-68.25,-82.5
-72.75,-68.25,-81
-71.8,-68.2,-80
-71.8,-68.2,-80
-72,-68.2,-80
-72.7143,-68.2,-80
-72.7143,-68.2,-80
-72.7143,-68.2,-80
-72.7143,-68.5,-78.4
-72.7143,-68.5,-78.4
-72.7143,-69,-79.5
-72.7143,-69,-80.1429
-72.7143,-69,-80.1429
-72.7143,-69,-80.1429
-73.25,-69,-80.1429
-73.25,-69,-80.1429
-73.25,-69.125,-79.375
-73.25,-69.125,-79.375
-73.25,-69.125,-79.375
-72.5556,-69.125,-79.3333
-72.5556,-69.125,-79.3333
-72.5556,-69.125,-79.3333
-73,-69.125,-79.3333
-73,-69.125,-78.8
-73,-69.125,-78.8
-73.3636,-69.125,-78.8
-73.3636,-69.4444,-79.1818
-73.3636,-69.4444,-79.1818
-73.3636,-69.6,-79.25
-73.1667,-69.6,-79.25
-73.1667,-69.2727,-78.7692
-73.1667,-69.2727,-78.7692
-73.4615,-69.2727,-78.7692
-73.4615,-69.2727,-78.7692
-73.4615,-69.2727,-78.7692
-73.4615,-69.2727,-78.7692
-73.0714,-69.5,-78.7692
-73.0714,-69.5,-78.7692
-73.0714,-69.5,-78.7692
-73.0714,-69.5,-78.7692
-73.0714,-69.5,-78.7692
-73.3333,-69.2308,-78.3571
-73.3333,-69.4286,-77.9333
-73.3333,-69.4286,-77.9333
-73.3333,-69.4286,-77.9333
-73.3333,-69.5333,-77.9333
-73.3333,-69.5333,-77.9333
-73.625,-69.5333,-77.9333
-73.625,-69.5333,-77.9333
-73.625,-69.5333,-77.9333
-73.625,-69.3125,-77.9333
-73.5,-69.5625,-77.9333
-73.5,-69.5625,-77.9333
-73.1875,-69.5625,-78.75
-73.1875,-69.5,-78.75
-73.1875,-69.5,-78.75
