count, hci0, hci1, hci2
0,0,0,-69
1,0,0,-73
2,0,0,-73
3,-60,-63,-74.3333
4,-60,-63,-74.3333
5,-60,-63,-74.3333
6,-64.5,-75,-74.3333
7,-65.6667,-75,-74.3333
8,-65.6667,-75,-74.3333
9,-71.25,-71.3333,-73
10,-71.25,-69.75,-72.4
11,-71.25,-69.75,-72.4
12,-71.25,-68.8,-72.4
13,-69,-68.8,-73
14,-69,-68.8,-73
15,-69,-68.8,-73.4286
16,-69,-68.8,-74.25
17,-69,-68.8,-74.25
18,-69,-71.5,-74.8889
19,-69,-73.8571,-74.8889
20,-69,-73.8571,-74.8889
21,-69,-73.8571,-74.3
22,-69,-73.8571,-74.3
23,-69,-73.8571,-74.3
24,-67.875,-73.8571,-74.4545
25,-67,-73.8571,-74.4545
26,-67,-73.8571,-74.4545
27,-66.3,-72.625,-74.4545
28,-66.4545,-72.625,-74.4545
29,-66.4545,-72.625,-74.4545
30,-68.0833,-71.6667,-74.5833
31,-68.0833,-71,-74.7692
32,-68.0833,-71,-74.7692
33,-68.0833,-70.3636,-74.8571
34,-67.4615,-70.3636,-74.9333
35,-67.4615,-70.3636,-74.9333
36,-66.9286,-70.3636,-75.3125
37,-66.9286,-69.75,-75.3125
38,-66.9286,-71.3077,-75.3125
39,-66.9286,-71.3077,-75.3125
40,-66.9286,-71.3077,-75.3125
41,-68.4,-70.8571,-75.3125
42,-68.4,-70.8571,-75.3125
43,-67.875,-70.4,-75.8125
44,-67.875,-71.375,-75.8125
45,-67.875,-71.375,-75.8125
46,-68.3125,-72.9375,-75.8125
47,-68.3125,-72.9375,-75.375
48,-68.3125,-72.9375,-75.375
49,-68.25,-72.9375,-74.9375
50,-68.25,-72.9375,-74.9375
51,-68.25,-72.9375,-74.9375
52,-68.25,-72.9375,-75.4375
53,-67.8125,-71.5,-75.4375
54,-67.8125,-71.5,-75.4375
55,-67.8125,-71.5,-76
56,-67.8125,-71.5,-76
57,-67.8125,-71.5,-76
58,-67.8125,-72.875,-75.625
59,-67.8125,-72.875,-75.625
