time, rssi
3,-60
6,-69
7,-68
9,-88
14,-60
16,-69
18,-69
24,-60
26,-60
27,-60
29,-68
30,-86
35,-60
36,-60
42,-89
44,-60
47,-67
50,-68
54,-61
