time, rssi
1,-73
4,-74
8,-79
10,-68
11,-68
14,-79
19,-68
22,-68
23,-74
26,-77
29,-68
31,-74
32,-78
34,-79
35,-68
37,-74
38,-74
40,-79
43,-68
46,-74
51,-77
55,-68
58,-74
60,-74
