count, hci0, hci1, hci2
0,-64,-75,-73
1,-64,-75,-73
2,-64,-74.5,-73
3,-65.5,-74,-73.5
4,-65.5,-74,-73.5
5,-65.5,-73.75,-73.5
6,-66,-73.75,-73.5
7,-66,-73.75,-73.5
8,-66,-73.75,-75.3333
9,-66,-73.6,-73.5
10,-66,-73.6,-73.5
11,-65.5,-73.3333,-72.4
12,-65.8,-73.7143,-72.4
13,-65.8,-73.7143,-72.4
14,-65.8,-73.625,-73.5
15,-65.8,-73.625,-73.5
16,-65.8,-73.625,-73.5
17,-65.8333,-73.5556,-73.5
18,-65.8333,-73.5556,-73.5
19,-65.8571,-73.5556,-72.7143
20,-65.8571,-73.5556,-72.7143
21,-65.8571,-73.5,-72.7143
22,-65.8571,-73.5,-72.125
23,-66,-73.5,-72.3333
24,-66.2222,-73.6364,-72.3333
25,-66.2222,-73.6364,-72.3333
26,-66.2222,-73.5,-72.8
27,-66.2,-73.5,-72.8
28,-66.2,-73.5,-72.8
29,-66,-73.4615,-72.3636
30,-66,-73.6429,-72.5
31,-66,-73.6429,-72.5
32,-66,-73.6429,-72.9231
33,-66,-73.6429,-72.9231
34,-66,-73.5333,-73.3571
35,-65.8333,-73.5333,-73
36,-65.8333,-73.5333,-73
37,-66,-73.6875,-73.0625
38,-66.0714,-73.75,-73.125
39,-66.0714,-73.75,-73.125
40,-66.0714,-73.75,-73.4375
41,-66.0714,-73.75,-73.4375
42,-66.0714,-73.75,-73.4375
43,-66.0714,-73.75,-72.75
44,-65.9333,-73.75,-72.75
45,-65.9333,-73.75,-72.75
46,-65.9333,-73.75,-73.125
47,-66.0625,-73.6875,-73.125
48,-66.0625,-73.6875,-73.125
49,-66.0625,-73.6875,-73.125
50,-66.1875,-73.625,-73.6875,*
51,-66.1875,-73.625,-73.6875,*
52,-66.1875,-73.5625,-73.6875,*
53,-66.1875,-73.5625,-73.6875,*
54,-66.1875,-73.5625,-73.6875,*
55,-66.125,-73.5625,-73,*
56,-65.9375,-73.5625,-73,*
57,-65.9375,-73.5625,-73,*
58,-66.125,-73.5,-73.375,*
59,-66.125,-73.5,-73.75,*
