time, rssi
1,-64
4,-67
7,-67
11,-64
13,-67
17,-66
19,-66
23,-67
25,-68
28,-66
29,-64
35,-64
37,-68
38,-67
45,-64
48,-68
51,-66
55,-66
57,-64
58,-67
60,-67
