time, rssi
8,-68
10,-68
13,-71
16,-71
17,-68
19,-68
20,-55
23,-71
28,-58
32,-70
35,-66
38,-55
40,-56
41,-71
43,-68
44,-68
52,-69
55,-58
59,-70
