hci0,hci1,hci2
-54,0,-65
-54,0,-65
-53,-66,-68
-52.6667,-66,-69
-52.6667,-66,-69
-52.5,-66,-69.5
-52.5,-66,-69.5
-52.5,-66,-69.5
-53.4,-66,-68.2
-53.5,-63.6667,-67.8333
-53.5,-63.6667,-67.8333
-53.5,-64.25,-68.1429
-53.5,-64.25,-68.1429
-53.5,-64.25,-68.1429
-54,-63.4,-67.625
-54,-62.6667,-67.625
-54,-62.6667,-67.625
-54,-62.6667,-67.625
-54,-62.6667,-67.4444
-54,-62.6667,-67.4444
-54,-63.1429,-67.8
-54,-63.1429,-67.8
-54,-63.1429,-67.8
-54.2,-63.1429,-67.8
-54.1818,-62.625,-67.5455
-54.1818,-62.625,-67.5455
-54.1818,-63,-67.5455
-54,-63.5,-67.5455
-54,-63.5,-67.5455
-54,-63.5,-67.5455
-54.3077,-63.5,-67.5455
-54.3077,-63.5,-67.5455
-54.3077,-63.5,-67.5455
-54.5714,-63.1818,-67.5455
-54.5714,-63.1818,-67.5455
-54.5333,-62.8333,-67.5455
-54.5333,-62.5385,-67.4167
-54.5333,-62.5385,-67.4167
-54.5333,-62.5385,-67.6154
-54.5333,-62.5385,-67.6154
-54.5333,-62.5385,-67.6154
-54.3125,-62.7857,-67.7857
-54.1875,-62.7857,-67.8667
-54.1875,-62.7857,-67.8667
-54.1875,-62.7857,-67.8667
-54.1875,-62.7857,-67.8667
-54.1875,-62.7857,-67.8667
-54.5,-62.7857,-67.8667
-54.8125,-62.6667,-67.625
-54.8125,-62.6667,-67.625
-54.8125,-62.4375,-67.625
-54.8125,-62.4375,-67.6875
-54.8125,-62.4375,-67.6875
-54.8125,-62.4375,-67.6875,*
-54.8125,-62.4375,-67.75,*
-54.8125,-62.4375,-67.75,*
-54.8125,-62.4375,-67.75,*
-54.8125,-62.4375,-67.75,*
-54.8125,-62.4375,-67.75,*
-54.625,-62.4375,-67.3125,*
