hci0,hci1,hci2
-70,0,-75
-70,-68,-75
-70,-68,-75
-69.5,-70,-76.5
-73,-70,-76.5
-73,-70,-76.5
-74.75,-70,-76.5
-74.75,-70,-76
-74.75,-70,-76
-74.75,-70,-76
-74.6,-69.6667,-76
-74.6,-69.6667,-76
-74.6,-69.5,-76.25
-74.6,-69.5,-76.25
-74.6,-69.5,-76.25
-74.6,-69.8,-76.25
-74.3333,-69.8,-77.2
-74.3333,-69.8,-77.2
-74.2857,-69.8,-77.8333
-74.25,-69.8,-77.8333
-74.25,-69.8,-77.8333
-74.2222,-70,-77.8333
-74.2222,-69.8571,-77.8333
-74.2222,-69.8571,-77.8333
-74.2222,-69.8571,-77.8333
-74.3,-69.75,-78.4286
-74.3,-69.75,-78.4286
-74.3,-69.75,-78.4286
-74.4545,-69.75,-78.5
-74.4545,-69.75,-78.5
-74.4545,-69.7778,-78.4444
-74.4545,-69.7778,-78.4444
-73.8333,-69.7778,-78.4444
-73.8333,-69.7778,-78.4444
-73.3077,-69.7778,-78.4444
-73.5714,-69.9,-78.2
-73.5714,-69.9,-78.2
-73.5714,-70,-78.2
-73.5714,-70.1667,-78.3636
-73.5714,-70.1667,-78.3636
-73.8,-70.0769,-78.5
-73.8,-70.0769,-78.4615
-73.8,-70.0769,-78.4615
-73.875,-70.0769,-78.3571
-73.875,-70.0769,-78.3571
-73.875,-70.0769,-78.3571
-73.875,-70.0769,-78.3571
-74.3125,-70.2143,-78.3571
-74.3125,-70.2143,-78.3571
-74.6875,-70.2143,-78.4667
-74.375,-70.2143,-78.4375
-74.375,-70.2143,-78.4375
-74.0625,-70.2143,-78.4375
-74.0625,-70.2143,-78.5
-74.0625,-70.2143,-78.5
-74.0625,-70.2143,-78.4375
-74.0625,-70.1333,-78.4375
-74.0625,-70.1333,-78.4375
-74.5625,-70.25,-78.3125
-74.875,-70.375,-78.3125,*
